period,timeInPeriod,timeRemaining,homeTeamDefendingSide,event,sortOrder,period,periodType,xCoord,yCoord,zoneCode,reason,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,awayScore,homeScore,gameId,seasonId,gameDate,gameType,venue,elapsedTime,normalized_xCoord,eventTeam,is_home,event_player1_Id,event_player2_Id,event_player3_Id,home_skaters,away_skaters,game_strength,home_skater_id1,home_skater_id2,home_skater_id3,home_skater_id4,home_skater_id5,home_skater_id6,away_skater_id1,away_skater_id2,away_skater_id3,away_skater_id4,away_skater_id5,away_skater_id6,home_skater_fullName1,home_skater_fullName2,home_skater_fullName3,home_skater_fullName4,home_skater_fullName5,home_skater_fullName6,away_skater_fullName1,away_skater_fullName2,away_skater_fullName3,away_skater_fullName4,away_skater_fullName5,away_skater_fullName6,home_goalie_id,away_goalie_id,home_goalie_fullName,away_goalie_fullName
1,00:00,20:00,right,period-start,8,1,REG,,,,,,,0.0,0.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,0,,,,,,,5,5,5v5,8474565.0,8476905.0,8474166.0,8481032.0,8475913.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Alex Pietrangelo,Chandler Stephenson,Alec Martinez,Paul Cotter,Mark Stone,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:00,20:00,right,faceoff,11,1,REG,0.0,0.0,N,,,,0.0,0.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,0,100.0,MTL,0.0,8477497.0,8476905.0,,5,5,5v5,8474565.0,8476905.0,8474166.0,8481032.0,8475913.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Alex Pietrangelo,Chandler Stephenson,Alec Martinez,Paul Cotter,Mark Stone,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:10,19:50,right,stoppage,12,1,REG,,,,icing,,,0.0,0.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,10,,,,,,,5,5,5v5,8474565.0,8476905.0,8474166.0,8481032.0,8475913.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Alex Pietrangelo,Chandler Stephenson,Alec Martinez,Paul Cotter,Mark Stone,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:10,19:50,right,faceoff,13,1,REG,69.0,22.0,D,,,,0.0,0.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,10,31.0,VGK,1.0,8476905.0,8477497.0,,5,5,5v5,8474565.0,8476905.0,8474166.0,8481032.0,8475913.0,,8475848.0,8482087.0,8482111.0,8476871.0,8477497.0,,Alex Pietrangelo,Chandler Stephenson,Alec Martinez,Paul Cotter,Mark Stone,,Brendan Gallagher,Kaiden Guhle,Justin Barron,Tanner Pearson,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:44,19:16,right,shot-on-goal,17,1,REG,-72.0,29.0,O,,wrist,8478470.0,0.0,1.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,44,172.0,VGK,1.0,8474565.0,,,5,5,5v5,8474565.0,8478403.0,8474166.0,8481032.0,8475913.0,,8476875.0,8475848.0,8480018.0,8480192.0,8476871.0,,Alex Pietrangelo,Jack Eichel,Alec Martinez,Paul Cotter,Mark Stone,,Mike Matheson,Brendan Gallagher,Nick Suzuki,Johnathan Kovacevic,Tanner Pearson,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:45,19:15,right,stoppage,18,1,REG,,,,goalie-stopped-after-sog,,,0.0,1.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,45,,,,,,,5,5,5v5,8475188.0,8478403.0,8477447.0,8477964.0,8476539.0,,8476875.0,8480018.0,8481540.0,8480192.0,8477497.0,,Brayden McNabb,Jack Eichel,Shea Theodore,Ivan Barbashev,Jonathan Marchessault,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:45,19:15,right,faceoff,21,1,REG,-69.0,22.0,D,,,,0.0,1.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,45,169.0,MTL,0.0,8477497.0,8478403.0,,5,5,5v5,8475188.0,8478403.0,8477447.0,8477964.0,8476539.0,,8476875.0,8480018.0,8481540.0,8480192.0,8477497.0,,Brayden McNabb,Jack Eichel,Shea Theodore,Ivan Barbashev,Jonathan Marchessault,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:54,19:06,right,giveaway,22,1,REG,-81.0,38.0,D,,,,0.0,1.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,54,181.0,MTL,0.0,8476875.0,,,5,5,5v5,8475188.0,8478403.0,8477447.0,8477964.0,8476539.0,,8476875.0,8480018.0,8481540.0,8480192.0,8477497.0,,Brayden McNabb,Jack Eichel,Shea Theodore,Ivan Barbashev,Jonathan Marchessault,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:55,19:05,right,shot-on-goal,23,1,REG,-85.0,10.0,O,,wrist,8478470.0,0.0,2.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,55,185.0,VGK,1.0,8476539.0,,,5,5,5v5,8475188.0,8478403.0,8477447.0,8477964.0,8476539.0,,8476875.0,8480018.0,8481540.0,8480192.0,8477497.0,,Brayden McNabb,Jack Eichel,Shea Theodore,Ivan Barbashev,Jonathan Marchessault,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
1,00:58,19:02,right,shot-on-goal,24,1,REG,-51.0,-13.0,O,,wrist,8478470.0,0.0,3.0,,,,,0.0,0.0,2023020138,20232024,2023-10-30,2,T-Mobile Arena,58,151.0,VGK,1.0,8475188.0,,,5,5,5v5,8475188.0,8478403.0,8477447.0,8477964.0,8476539.0,,8476875.0,8480018.0,8481540.0,8480192.0,8477497.0,,Brayden McNabb,Jack Eichel,Shea Theodore,Ivan Barbashev,Jonathan Marchessault,,Mike Matheson,Nick Suzuki,Cole Caufield,Johnathan Kovacevic,Sean Monahan,,8478499.0,8478470.0,Adin Hill,Sam Montembeault
