Player,Odds,Implied Probability,Implied Probability (%),generated,operator
Artyom Levshunov,-250,0.7142857142857143,71.42857142857143,2024-06-25 22:16:30.162235,draftkings
Ivan Demidov,170,0.37037037037037035,37.03703703703704,2024-06-25 22:16:30.162235,draftkings
Cayden Lindstrom,2500,0.038461538461538464,3.8461538461538463,2024-06-25 22:16:30.162235,draftkings
Anton Silayev,3000,0.03225806451612903,3.225806451612903,2024-06-25 22:16:30.162235,draftkings
Zeev Buium,10000,0.009900990099009901,0.9900990099009901,2024-06-25 22:16:30.162235,draftkings
Zayne Parekh,10000,0.009900990099009901,0.9900990099009901,2024-06-25 22:16:30.162235,draftkings
Sam Dickinson,10000,0.009900990099009901,0.9900990099009901,2024-06-25 22:16:30.162235,draftkings
Berkly Catton,20000,0.004975124378109453,0.4975124378109453,2024-06-25 22:16:30.162235,draftkings
Carter Yakemchuk,20000,0.004975124378109453,0.4975124378109453,2024-06-25 22:16:30.162235,draftkings
Macklin Celebrini,20000,0.004975124378109453,0.4975124378109453,2024-06-25 22:16:30.162235,draftkings
